Symbol,Close,Percent Change,Volume
NABIL,1512,-0.8,60311
NABIL,1474,-2.51,108142
NABIL,1485,0.75,118177
NABIL,1475,-0.67,60813
NABIL,1456.8,-1.23,47379
NABIL,1452.9,-0.27,56323
NABIL,1421,-2.2,80982
NABIL,1366.1,-3.86,130695
NABIL,1460,6.87,64277
NABIL,1450,-0.68,90423
NABIL,1430,-1.38,43538
NABIL,1420,-0.7,58668
NABIL,1452.5,2.29,98889
NABIL,1485,2.24,79765
NABIL,1485,0,51892
NABIL,1524,2.63,209837
NABIL,1499,-1.64,201767
NABIL,1480,-1.27,170269
NABIL,1450,-2.03,326139
NABIL,1144,5.41,263845
NABIL,1137,-0.61,130041
NABIL,1119,-1.58,116739
NABIL,1111.9,-0.63,75462
NABIL,1114,0.19,67780
NABIL,1113,-0.09,126780
NABIL,1111.3,-0.15,120640
NABIL,1114.8,0.31,102845
NABIL,1107,-0.7,105760
NABIL,1110,0.27,92618
NABIL,1140,2.7,176667
NABIL,1178.9,3.41,113189
NABIL,1190,0.94,116223
NABIL,1177,-1.09,73385
NABIL,1178,0.08,47782
NABIL,1161,-1.44,79765
NABIL,1127,-2.93,96165
NABIL,1129.1,0.19,52041
NABIL,1121,-0.72,61217
NABIL,1117,-0.36,56308
NABIL,1135,1.61,59027
NABIL,1127,-0.7,38126
NABIL,1121.1,-0.52,54175
NABIL,1122,0.08,61153
NABIL,1109,-1.16,71516
NABIL,1109,0,68960
NABIL,1107,0,51383
NABIL,1100.9,-0.55,59639
NABIL,1097.1,-0.35,62380
NABIL,1070,-2.47,87909
NABIL,1064,-0.56,68303
NABIL,1075,1.03,53230
NABIL,1080,0.47,46381
NABIL,1079,-0.09,34444
NABIL,1062,-1.58,61489
NABIL,1067,0.47,39297
NABIL,1070.5,0.33,41743
NABIL,1067.5,-0.28,29641
NABIL,1051,-1.55,72385
NABIL,1041,-0.95,43253
NABIL,1040,-0.1,45316
NABIL,1006,-3.27,74636
NABIL,1002.9,-0.31,64365
NABIL,1011.9,0.9,47036
NABIL,1007.9,-0.4,35691
NABIL,1018,1,31958
NABIL,1079,5.99,57510
NABIL,1092,1.2,23711
NABIL,1079,-1.19,44505
NABIL,1064,-1.39,25272
NABIL,1060,-0.38,28034
NABIL,1052,-0.75,32178
NABIL,1050,-0.19,35572
NABIL,1047,-0.29,29498
NABIL,1040,-0.67,34482
NABIL,1020,-1.92,37321
NABIL,1017,-0.29,36394
NABIL,1009,-0.79,53395
NABIL,1006,-0.3,101034
NABIL,1002,-0.4,62677
NABIL,997,-0.5,42507
NABIL,997,0,56895
NABIL,984,-1.3,87147
NABIL,965,-1.93,69199
NABIL,969,0.41,76197
NABIL,971,0.21,70697
NABIL,960,-1.13,45151
NABIL,971,1.15,35450
NABIL,971,0,35787
NABIL,956,-1.54,51642
NABIL,949,-0.73,66610
NABIL,940,-0.95,37902
NABIL,935,-0.53,55028
NABIL,951.5,1.76,47975
NABIL,940.9,-1.11,54841
NABIL,937.9,-0.32,27496
NABIL,934.9,-0.32,34974
NABIL,928,-0.74,43224
NABIL,920,-0.86,39086
NABIL,909,-1.2,37775
NABIL,901.9,-0.78,50023
NABIL,889,-1.43,46835
NABIL,896.5,0.84,40948
NABIL,909.7,1.47,40752
NABIL,933,2.56,37027
NABIL,930,-0.32,54739
